video_id,comments
oNvyvYGw5n4,"['I am distracted by the 🐶 😍', 'Thu Vu is my latest favourite :) Big props to the OGs Forrest Knight & Keith btw!', 'The most handsome data scientist / software engg  is hiding in corner ""Forrest Knight"" 😉', 'Awsome  !!! nice to see great personalities of Data Science. under one roof. ( Missing  .. Aishwayra, Sundas and  Thu Vu ).', '📍📍 Сведочанство ће ускоро почети да се развија када будем финансијски надоградио након што сам веровао свом водичу чак и са овом несрећом која је у току', 'Poggers!', 'So excited to see Keith there ☺️☺️.\nIt a full house this Time around.', 'Crazy day, I just get to see this! I love this GANG!', 'Nice!!!!,  aleast Keith is in the House', 'There is no krish naik']"
GaZRuchRCyw,"['in a world of vscode is nice to see people liking jetbrains products', 'All legends in one place', 'This is so cool 😎  wish the web developers youtube community were like this instead of being crabs 🦀  in a bucket \U0001faa3.', 'This is awesome, you guys are building generations to come. \nImpacting knowledge 🖤🖤.', 'So cool seeing you guys alll together. Big fan from The Netherlands 🇳🇱. Keep it up guys love the content 🤞🏼❤️', 'Loved it! And great inspiration as always too,  Keep up the good work!', 'It would be nice to have people from the business intelligence field too. Enjoyed the video.', ""oof I missed this :(, but who's stopping me to replay this lol"", 'Thanks to each and everyone of you. I began my data journey roughly a year and a half ago and each one of you at some point has helped me in that journey. I will never forget when I emailed Alex the analyst regarding a dilemma I had in choosing a masters program he replied and helped me narrow down my decision.', ""Hi Ken, very insightful discussion from everyone.\n\nThanks for putting this together.\n\nAvery is a cool dude but why is he spending more time on his phone.\n\nplease, can you add the links to everyone's socials.""]"
EBjYqC3aNTA,"['To get things started, I would like to do a python project where I automate the watering of my plants! Share the projects you would like to work on below!  Again, thanks for watching! Be sure to check out all the resources in the description above!', 'I can attempt to take you on in a cook-off but not in Jiu Jitsu 🌻\nGreat video Ken ! Thank you', 'I switched to Mac and I never look back !', 'Thanks so much for this video. The link to the youtube for freecodecamp isn\'t working. I had a question (perhaps for another video)— what ""certifications"" (if any) are valuable in the DS space?', 'This video is amazing. Thanks for sharing your wisdom. \nWhat I would love to make with python is an automated speed test for my internet that collect band width data every certain amount of time to make a dataset to present a claim to my internet provaider.', ""I train jiu jitsu as well. Blue belt here! Learning Data Science as I found a passion in working with data. If you're ever in Michigan please let me know and come train with us at our gym! I would like to eventually find ways to use data science to come up with interesting projects within the jiu jitsu landscape."", 'I was about to make a similar video and watching this inspired me plenty of new ideas, now I have to rewrite my entire script so thanks for nothing. Jokes aside, great video and inspiring as always!', 'I started doing some EDA on data from my workouts acquired from my Apple Watch, but I’m unsure where to go from here. Anyone have any suggestions? Thanks in advance!', 'A video many have been waiting for!\n\nA Ken Jee classic! I agree that at first, coding ""seems"" hard and challenging.\n\nOnce you get started with your first project, you begin to realize how much fun it is! A few well documented personal projects later, you\'re well on your way to potentially apply for entry level jobs.\n\nKeep grinding everyone!', ""This is awesome! I'm in my first semester of master's program in Data Science, but I was having a hard time since I come from linguistics background. Now I feel like some clouds have been cleared up. Thank you so much for the video and can't wait to watch your next content! Cheers :)""]"
QMP858aZcow,"['Thanks for watching everyone! Sorry for the bit of audio echo, getting used to the acoustics of the new office! Learn more about the Z by HP Data Science Stack Manager Here: https://zdocs.datascience.hp.com/', 'So last week I found out I had notifications disabled when someone mentioned me on LinkedIn! Then the the other day I found out my Twitter DMs are locked? And literally just as I’m about to tuck in for the night I found out there’s a bunch of vid mentions I missed…including this one 🤦\u200d♂️ Ahhh my bad, hope you’re doing AMAZING Ken!!! Love ya work!!!', 'I just found you, I have seen a couple videos of yours and I am amazed with your content. Thanks for sharing!', 'Hey ken jee \nSome with an accounting degree wishing to transition to data science can I do a postgraduate diploma in Cs will it count as a masters ?', ""Great content as always! I hope to help more people one day by having a wider reach like you, so your content motivates me a lot. Can't wait for your future content!"", 'Hey ken Jee \nInstead of masters in data science can I use an alternative and do a micro masters ??', 'I got DALL-E access this morning!', ""Do people go through a phase while learning Data Science that no i can't do it at all? :( Going through the phase when i have started working on my projects.:("", 'Who could have articulated it any better ? It is clear and transparent glass now,in my mind.Thank you #respect', 'The opener killed me']"
0ItYIoOrrUs,"['Special thanks to SAS for having me out at the batting lab! Do you think I have what it takes to start my baseball career up again?', 'One of your best videos yet!  Data literacy is soo valuable and important.', 'What the heck this was so unexpected but awesome!  Felt like I was watching a professional documentary.  I wonder if data science could ever help me learn how to not look like a dork when I dance lol?  Probably not 😂', 'Thanks Ken for another great vid , I began data science after school as a way to break into the tech ecosystem, I am also a huge sports fan and founding out that data science can be used in sport as sport analytics has been a great delight. .. please what advice can you give a beginner in data science that wishes to go on the sports analytics path ???', 'Wow, haha, I had no idea that you were in the Cary area so recently! The RTP area is a pretty cool place. I love it here. Outside of getting a cool tour and experience at SAS, I hope you got to do and see some other fun stuff here! Great video as always. I really liked how this one was edited and shot.', 'The Lab looks like a fun project with an important cause. Great video!', 'hey Ken very cool video! Applied machine learning is severely lacking on YouTube and videos like this will hopefully promote that change!\n\n i just posted a video going over a free online analytics tool i made, could you check it out and give me any feedback?', 'Can machine learning Improve  sports betting analytics', 'What a swing and training montage!', 'Really cool video, interesting to see such a good real world application of Data Science in practice, would love to see more such kind of videos!❣️🤩']"
KzTFoUbThvM,"[""Special thanks to Luke, Tina, and Miki! Check out Luke's video next! Check out Luke's Video Next: https://youtu.be/i8PKI_zJfDU"", ""The collab we didn't deserve but got anyway:"", 'LOL!', 'Very informative! You helped me find my passion with your videos and you inspired me to try to do the same for others by starting a Tech Youtube channel myself. So thank you for that!', ""Hi!\nHope you're doing well\nIs master's degree needed to land a job in data science or a bachelor's degree is enough?\nDo we necessarily need a master's degree??"", ""Hi,\nSo I had a question.\nSo basically I'm going to college this year. I'm enrolled to get an online BSc degree in Data science program from an IIT. I'm also going for an undergraduate degree in computer science. What else should I try to do in this hectic schedule to get hired as a data scientist when I graduate?"", ""The BEST comedy i've ever seen 😅😅😅🤣🤣🤣🤣 you guys, really creating this gang are awesome! Giving all this content by free... right now i am learning DATA CLEANING with Ken ! Luke always make me laugh... and Tina I LOVE TINA 😍😍🤩 Most clever girl i follow in YouTube"", 'we need more like this too 😂', ""legend has it that we still haven't nailed that dance yet"", '😂😂😂 this was great, I definitely ""evolved"" from the excel/power bi user to Ken. I current work with a ton of software engineers, docker jokes made me lol']"
bBJd0oPdNak,"['i love seeiing Mikoko out here!!!! Bo YAAA!!!', ""Love you guys..\nYou all motivate me.\nI'm starting out as  a data engineer"", 'What a great community!! \n\nI love all of you guys❤️', 'You need Alex Freberg to crash the party.', 'Great livestream and congrats Ken on 200 K!', 'Data science all stars!!', 'That clickbait with Tina😀', 'what a data squad !', 'Super cool, peeps!', 'This was such a fun livestream!! 🙌🏼 We gotta do this again ASAP!']"
Yk-unX4KnV4,"['Check out the #30DaysOfStreamlit here! https://share.streamlit.io/streamlit/30days. Again, this is a great learning objective that can be done alongside the #66DaysOfData!', 'Thank you so much for such a good project. Would love to go along with more projects from scratch.', ""Hi Ken, Thank you so much for this project. It's an eye-opener. I have a problem though, my publish date column is also implementing colors. I would appreciate it if you could help me understand that better, Thanks again"", 'Ken thank you so much for those videos! I was wondering if you could make a video about creating your own dataset/data scraping for portfolio project? Thanks:)', 'Hello, is it possible to use this project and show this data as a web interactive app that the user might interact with?', 'Hello Ken!\nU am bew to Data Science and I really love your channel & content. I have a major in Food Science and I want to make a huge change to my life going into Data Science. What online complete course do you recommend for me to get please?', 'woww this video is a wonderful video and pushed me to some other videos in your channel. great content. thanks for uploads. ,.,.,.,.', 'Wow, this is exactly what i looking for! Thx Ken Jee', 'Is it necessary to create a python environment first?', 'Thanks for this video sir. Please make more like this 🙏']"
z0_xrtFdFj8,"['Special thanks to Dice.com for sponsoring this video! Visit their awesome platform here: https://bit.ly/3Itt5go \n\nWhat job questions do you have? Ask away below!', 'Your videos have been such a driving force for my motivation, Ken! I’m a physical therapist hoping to use my doctorate in PT and medical domain knowledge to eventually leverage my way into a medical data science position. I find myself going to your channel at least once or twice a day and soaking up any insights you provide. Keep up the good work! Your content is valuable to many.', 'I just started applying to data science jobs this week. There are so many postings, but so few of them I actually want to apply to.', ""Hey Ken, great video as always thanks for sharing. I am trying to transition from a senior operations manager in tech to a Data Analyst, and I'm having some difficulty.  I know it doesn't sound like I should but it's definitely happening. Can you share your thoughts on how one should approach transitioning from various roles to Data Science?"", 'I love the way you explains the complex things in very simple way. No surprise that you are very good in networking. Your videos are very useful and I am looking forward to learn alot in future as well. Keep up the good work. 😊', 'I am still confused about how to approaching the job search as a data problem and using that to my advantage', 'Love this video!  I appreciate the insight.', 'Thank you Ken', ""Great insights shared with a lot of useful tips that can help maximize landing a data job. It made me realize a couple of things that I can improve, specially narrowing down my job searching opportunities, focus my portfolio to fields i'm interested in and improve my networking. Thanks a lot for sharing this content! Amazing stuff!"", 'Hi Ken I got called after 2 days for a position called business controller junior intern, and I rejected them as I have exams behind and as they were offering me a 8h full time which seemed impossible combined with studies or attending lessons. I thought that after this I could later transition to business analyst and data analyst. \nData engineering seems great but codes I found from free courses didn’t work out, compared to data analytics courses and data science courses.']"
vVpkXEIn-q0,"[""Start using Deepnote today: https://deepnote.com/home?utm_source=youtube&utm_medium=referral&utm_campaign=kenjee_nftvideo\nOur Code: https://deepnote.com/project/NFT-Analysis-YouTube-Video-eWcTN9tISeOZmHGwVNH8rw/%2FFinal_Analysis.ipynb\r\nOur Dashboard: https://share.streamlit.io/averydata/nft-streamlit/main/nft_dash.py\r\nAvery's Channel: https://www.youtube.com/c/AverySmithDataCareerJumpstart"", 'Urgh tbh the clickbait in the thumbnails and titles, and even video content now has gotten too much for me. Unsubscribed', 'Hey Ken, just got admitted to MS in Data Science and Analytics at Georgetown University. Is there any way (in another comment, email, etc.) in which I could get your quick opinion on what courses should I focus on taking so I can make my experience as valuable as possible ?', ""Sorry Ken! Haven't been able to stay active in the comment section lately because of the exams"", 'Soon we will have our own collection of DS peeps NFTs lol .. Great video Ken ! Useful for tax evasion ig lol', '""wen utility?"" Loved this video so much, and has me excited for doing some more data analysis in the space!', 'So cuuuuuuuuuute! I need to do an angry papaya project.', ""My advice to investors right now, Just seek professional help from a good financial adviser to avoid loosing money.  I'd suggest you get assisted by a market advisor like BLAINE PHILLIPS JR .  the forecasts and market views are best entertaining but completely useless.."", ""NFTs are pretty risky so some data analysis is certainly useful for anyone who wants to get into them. Frankly, after getting in on NFTs early, I'm totally out now. One other example of risk is how little regulation there is upfront. I flipped an NFT that a few days later was determined to be copywritten material and the entire project was deleted from OpenSea entirely. Anyone who still had one in their wallet got stuck holding the bag on that one.\n\nWould be interesting to do some analysis that allowed you to spot trends and get in on NFT projects before they really blew up. Still feels like gambling though lol."", ""I really appreciate the great you did Mr.Ken Jee it is really amazing. I'm so interest  with data from the perspective of the reearch .""]"
