video_id,comments
ux1LX83ql_M,"['For the 3rd facial products use case\nThe face_recognition library in python enables us to extract 128d encoding of the faces based on triplet loss function\nSo this can be used to extract a 128d vector and since the predicted value in this case should belong to multiple classes, I will use a one layer neural network with sigmoid activation function as softmax can be used only if the predicted value belongs to only one class\nFalse negatives will be like classifying bearded person as a non bearded person and recommending  beard oil \nFalse positives will be like classifying non beared person as a bearded person and  recommending trimmers', ""Hi sir.. I have completed my degree in 2013. I have experience 5 yrs experience in teaching field. I'm 30 now.. I'm good at maths and logical skills. Can I become data analyst and get a job now? Please suggest"", 'for second project we can either use openCV   or cascade classifier  and  product recomender  by tensorflow or forcasting as well .......', 'For the 1st case\nWe use gender and age parameter and apply knn or svm', '1. Recommendation System:\nWhen a person log in, get all the information regarding the person like what product he/she likes, what does the person prefer, get the browsing history of that person. Now based on the product he/she buys, we can set item-based filtering recommendation or collaborative -based filtering. Now, to tackle the cold start problem, whenever a new person comes in for the first time, show what products does he/she likes, show the tags. Once we have the data we get specific based on tag and at least show some recommendation.\n\n2. Facial Recognition:\nFirst we have to determine what are all the range pf products available i.e.what products are available for what part of the face. We have to check if the person is male or female. Train a model or use a pretrained model which will get the facial characteristics of the face, like if it detects a beard then recommend beard oil or a trimmer. For the female recommend cream, lotion based on the marks, spots on the face. This can be done with uploaded photos or real time camera using openCV. Similarly, like the previous to tackle cold start problem, show what products he/she is interested in, show the tags, get the history etc.\n\n3. Logistic Procurement:\nThe main objective here I believe is to show whether or not we need more material or less material for the product. This is a kind of optimization problem where we are minimizing the raw materials needed. I have 2 approach for this-\n  a. First one is model based. First, we have to see what different types of juice are there to make. Based on that we have to see the material we need to build the product. We have get all the characteristics/features of the juice which contributes in using raw materials more or less. We can build a model based on those and either predict whether it will use more or less material (binary classification task) or predict what is amount of material the product is going to use (linear regression task). \n  b. The second way is based on heuristic approach. If the product use different material to to be build i.e. let say some amount of each \'n\' material to make a product. Now to minimize the amount needed for each material we can use genetic algorithm to get that or other optimization algorithm to do that.Though this not so efficient, if we have lets say 100 products each using \'n\' materials type as we have to do for all.\n\n4. Car Problem:\nThis use case is in kinda broad spectrum. I am no knowledge in car making but still answering it.\n  a. Damage Detection: A car has many parts inside and outside the body. We can separate damage detection in terms of ""analog i.e. mechanical parts and digital i.e. in software parts"".\n      i. For the damage detection in mechanical parts like brakes, engine, tires etc. we can build a model which can detect damage and do segmentation of that part. For this to happen we need to install camera inside the engine hood and underneath the car. A damage can be detected not only by images but with sensors too. The car software can analyze the data to get a warning like this parts seems fishy, kindly check it out.\n     ii. For the damage in the software parts, show warning about the software parts.\nTo make it work both side needs to work together.\n\n  b. AC control: First off sense the outside temperature via sensor, sense the inside of the car also, get the temperature from both sides, then don\'t turn on the AC immediately just show a prompt on the screen whether or not turn on the AC. Let\'s keep the action on the user part. Imagine if someone has cold inside the car and suddenly it turn on the AC, good luck. Or imagine the person doesn\'t want the AC, he/she can pull down the windows.', 'For 1st use case..we can first do clustering and segment customers into different groups and then we could apply multi-class classification based on previous data on each segment and built recommendation system based on classification results', 'First usecase...\n\nInsurance recommendation system.\nBasic details we get is age,sex,demography etc etc..\nFirst we consider it is as cold start problem and we can recommend product which are similar to age interval and demographic feature etc.\n\nAfter that we can track user serach and using that searches we can recommend user by using user user similarity or item item similarity.\n\nAlso we can cluster users and identify the nature and best recommendation also.....', 'please share the answers, approach that you used', 'Krish sir , i am confused here \nWhat is difference in Feature Scaling and Gaussian Transformation techniques (i know both are falls in Feature Scaling)\nAnd does i have to use both of them ? And in what condition\nSir and can you explain also target leakage in target encoding', 'For 1st use case we may use collaborative filtering']"
IaDS2y6hVUc,"['Hi sir , I am a  DBA working from past 4.5 years, I am looking for a career transition...   As it is bit difficult to implement any ML models in our project... Can you please let us know on how to prepare, explain and crack the interview in this scenario?. . A humble request...thank you so much sir', 'Thanks Krish for this video. Finally I got my career transition related doubts cleared... 🙏', 'When will the next data science batch start?', ""I wanted to ask you a small doubt\n\n\nI created a model(very simple TfIdf based movie recommendation)\n\nNow I want it as a web api\n\nI know I can use flask and use the pickle but what if any new movie data gets added to my database?\n\nDon't I need to retrain the model\n\nAnd I have to do it everytime a new data is added?"", 'Hello sir...can i make a career transition into data analyst after working in 13 years in operations and m only b.com graduate and m 34 years old...is it still possible?', 'Hi Krish, I am from SAP Analytics background with 10 years of experience. Recently learned Python, felt quite easy language. \nBut how can I become a full fledged Data scientist?', 'is it required to learn dsa for data sience?', 'Hi Krish,\r\nI am software engineer having working experience 8 year in MNC company( technical skill perl, Jenkins, palamida and python) but left the job February 2018 due to personal reason. Now again start searching the job in IT fields, watching your video get motivated work as a data analyst/data scientist. \r\nPlease could you guide/suggest me, \r\n1.\tHow to start carrier again or is this gap in my IT experience will create issues.\r\n2.\tOr any suggestion from your views\r\n\r\nRegards\r\nYashwant Singh', ""Bro i want you to check a dataset name adlult.data they are some missing value in the dataset but they are not NAN BUT LIKE '?'"", ""Sir I'm btech in civil engineering 2015 passout and having working experience of 4 years (2015-19) thn i left the job and starting preparing for government service but after 3 years of preparation I couldn't get through....now i m 29 years old and I want to switch my career in private sector ....pls sir suggest which skill I learn in between DATA ANALYST vs Data scientist vs full stack development ....pls Rply sir..i really need ur advice""]"
m_nQM_AkVfY,"[""Hlo sir ..i m btech in civil engineering (2015 passout)..having working experience of 4 years (2015-19) as a site engineer thn i left the job and preparing for govt services..after 3 years of hard work I couldn't get the job....now I want to switch my career in DATA ANALYST...pls sir suggest me ..if I take a course of DATA ANALYST  and after the completion of this course..can I get a job in this field as a fresher?"", 'Can u make a video about roadmaps in machine learning for beginners', 'Hi bro. A quick question. I have a total of 7.5 years work experience having 9 LPA. But I am a fresher to Data analytics. What range of salary can I expect?', 'क्रिश सर, आपसे एक request है की क्या आप tech neuron का subscription life time ke liye दोबारा दे सकते हो क्या .. क्योंकी जब आपने lifetime subscription रखा था तब हमे मालूम नही था,,, कल एक मॅडम से बात किया तब पता चला... क्या आप कूच समय के लिये life time subscription चालू कर सकते हो .. यही आप्से request hai ..thank you.', 'We owe tremendously to these mathematicians today.\nThey were so intelligent. I can only imagine how difficult it has been for them to develop these complex algorithms. The amount of research, dedication and hardwork they had to put in. To top it all, they did not even have the technologies that we have today and yet they were able to ""derive"" the maths that make all these algorithms function. Big respect to them.\nThanks for bringing these names in the limeline Krish!\nThey are the real heroes.', 'Sir goto Sandeep Maheshwari', 'Very interesting. You are so thorough in machine learning.', 'Great content!']"
-rw3TtDCVRE,"[""can anyone mention krish sir's email id. i have to do talk with him.."", 'Great advice sir.. I think this is the right time to see this video.. Thank you so much sir..', 'Sir, can we start our career in data science as a fresher? I am a fresher, I recently completed my BE, and I want to start my career in data science; however, it is very difficult to find any openings for freshers like me.', ""While practice Python i get totally fursat i don't know why it became easy while learning and hard while doing \nCan somebody help me \nYouTube video are not helping me any more"", 'Did he get that job?', 'Hi bro. I have a total of 7.5 years work experience having 9 LPA. But I am a fresher to Data analytics. What range of salary can I expect? Pls tell me your thoughts', 'Sir can you please suggest me which bachelors degree is best for data science courses ......and which collage is best for it', 'Hey, really happy that I found this channel. I taught myself a lot with your videos and passed a Machine Learning Engineer interview this week. Thank you a lot sir!', 'Hi Krish thank you so much for your videos.I have 3.9 years of experience in Data Science and specifically in NLP only. If iam going to interview what should I prepare.Please help me', 'Always encouraging us...... thanks for the support sir']"
vnAN9pmgc2g,"['Sir paise kaise kamae, ye btao', 'Aree koi paisa kamane wala idea btaao sir 🤦🤦', 'Have you made a video on Kubernetes also? Thanks.', 'Sir Next Course-a-thon kab hai']"
fXfs_6o_hOs,"['Python interview questions with explanation https://youtu.be/AXiP-dYb7SU?sub_confirmation=1', 'guys do u tink it is a good idea to do 5 year integrated msc in datascience????', 'I just join ur channel \nPlease continue posting machine learning tutorials and advice\nAnd i have review ur formal video \nIt was awesome i like ur explaination\nI hope that i will learn more before joining  college', 'Sir plz continue nlp lectures attention models and transformer bert', 'I got this question in interview 1.5 years ago', 'Should we use OOB error or accuracy from test dataset to validate random forest model?', 'Thank you for creating video on this topic 👍', 'First comment 🎊🎊']"
J_TLvwNYliM,"['When next video of git  will come ?', 'finished watching', ""Sir iam Rohit i watch your video .. but but but 😅iam not too much intelligent 🤓 and don't learn any programming language 🤦but i did 😔only ADCA course in computer ..but want to work in your company 😅 i know basic about computer so tell me can i join or give me some ideas so that i can do that course or learn to get any type of job in your company 😅 iam pursuing Bsc 1yr ...tell me please please please ❤️❤️❤️❤️..\nI love your explaining way osm for me 🥳🥳 please suggest me sir please"", 'When will the next NLP steam be? Really looking forward to it.', 'Hi sir Can I join now in Full Stack Data Analytics program?', 'SIr, this video was super super good , thankyou very much!', 'Thank You for sharing', 'Good afternoon sir , \nu teach awesome sir', 'Thanks for your all efforts 🙏']"
Gs15V79cauo,"['What is the role of github here when integration is done between gitubactions and docker?', '@Krish Naik : Yes please we need an entire series on deployment using docker containers.  If YouTube allowed i alone would have given 1000likes 😜. Also please continue your NLP series on BERT and GPT as well i literally loved them', 'Thank you for the amazing explanation and code. I am a facing problem in accessing logs. do any know how to access heroku logs when we deploy apps like this. sorry I am still new to this. Thanks', 'You are amazing sir. Yes, sir require a complete docker process.', 'How could you make a content exactly I have been in need of 🤣 I appreciate that', 'INeuron community class support ended ??', 'Could you please create a video on how to create a production API with all forms of testing included in it?', 'Thanks for your videos Krish, I always enjoy following your workflow.', 'Thanks Krish', 'Please make video about what makes you keep putting videos more  than 1.4k video is not a little things\nThis involves more effort, hardware, consistency, etc etc.\nPle make motivation video about your story.']"
SMqxisMGfYM,"['🔥', 'finished watching', '1st like 💥']"
GW7B6vwktPA,"['!', ""You've actually got so quality stuff on your channel. Keep that up man!"", 'works fine, tnx', 'finished watching', 'how to go to remote add origin , if i close the browser tab', 'if user not created , how to create?', 'would be great if you can cover some topics :\n- Git Merges\n- Resolving Git Merge conflicts\n\nThis is a common challenge in a data science project when working with small groups of teams using same Git Repo/Branch and each team working on separate projects/markets', 'Can you take one session on MLOPS', 'Hi sir , please explain the backup option on lfs enabled objects.', ""Krish, u downloaded the version 2.37.1 , but why it's showing 2.36.1 in the terminal ?""]"
Xii_iU9drSU,"['Ｐｒⓞм𝕠𝕤𝐌 😂', 'Hi krish, when will the devops job guarantee program be lauch @ineuron.. Any idea..', 'Start end to end datascience project', 'Is it for fsda batch also?', 'After a career gap of 8 years...no working experience.....now want to move in private sector....pls suggest me which course is beneficial for me , i m confuse between DATA ANALYST  or full stack web development or any other courses according to ur suggestion which will b beneficial for me to get job with good package bcz u r well experienced in this field ...so I need your advice sir...pls reply', 'Can non-ineuron outsiders apply in your job portal???', 'can i download this resume for different job portals.is there any option.Thanks', ""Amazing dashboard sir. Can't thank you, Sudhanshu sir and entire ineuron more for giving us an opportunity to refrain our careers and discover the best in us. Ineuron has literally changed my life. You people are the best. God bless you all with health and happiness 😊"", 'Please make a video about Hiring Drive which will be conducted by INEURON on 10TH Aug.Is it open for all or there will be shortlisting of candidates after applying?Please reply', 'Nice and valuable information video...💐💐💐']"
x_6EkOA3eNk,"['amazing sir as always', 'Ui/ux job plz', 'please add option to upload resume', 'hllo sir \nmaine skill lync platform se 2lakh ka data science ka course liya hai but mujhe kuch samj nhi aa rha kuki yea log sirf recorded vdo bhejte hai but koi live session nhi hai maine complain kiya uss platform p but woh bol rhe hai k course cancel ho jaaega but emi process band nhi hoga aapka paisa deduct hota rhega , sir kuch samj nhi aa rha kaise niklu me iss platform se', 'When the next FSDS batch will be start?', ""Sir If I join FSDS may batch now, will I be fall behind? Won't it be problem?"", 'please available remote job 🙏', 'Excellent feature sir waiting comes to an end 🙏🥰', 'No freshers jobs available', 'Please reduce the tech neuron course price. It became too expensive now.']"
k3_qIfRogyY,"['Thank you sir for this amazing class.🥰🥰', 'Hello Sor, waiting for next video.. Plz complete the NLP course', ""Hi Krish i need birectional lstm and encoders and decoders video I didn't find here could you please provide for me"", 'Amazing session as usual. Thanks for all your efforts', 'sir,,,please continue nlp', 'Hello sir, waiting for the next session..Please complete it so that we can have complete knowledge.', 'very informative video', ""Hi Krish, I watched every one of your videos and I must say, it is one of the best tutorials I've ever came across. I really hope you will finish the course because learning NLP from you has been amazing so far."", 'Thank you so much sir.', 'Hi, pls upload it to dashboard.']"
o3cDrAXxcGE,"['After a career gap of 8 years...no working experience.....now want to move in private sector....pls suggest me which course is beneficial for me , i m confuse between DATA ANALYST  or full stack web development or any other courses according to ur suggestion which will b beneficial for me to get job with good package bcz u r well experienced in this field ...so I need your advice sir...pls reply', 'You are great', 'Hi krish can u please tell which is best among full stack developer vs machine learning for high package???', ""Hii Krish\nWhy there is no python in ineuron 's job guaranteed big data program 's curriculum ?\nBecause python is necessary for data engineering\nHow we will be able to learn pyspark without learning python ??"", 'ah miss the live! was in sudhanshu class! Rewatching after class', 'Hii Krish\nYour ineuron job guaranteed Big data course is for also bcom background student ?\nAnd any prerequisites for learning this big data course ?', 'which degree is better after 12th for data scientist bca or bsc stats', 'Prerequisite for data engineer', 'Hi Krish, I am from FSDS May 2022 batch, are you coming to take classes in our batch?', 'Hello sir, how to deal with bimodal and multimodal distribution.?']"
8M1d8C5Dzug,"['Check out the blockchain playlist: https://www.youtube.com/watch?v=0JuRzN6T70I&list=PLZoTAELRMXVO7HmmSCuP_RGBX1l84Rt1_', ""Hi Sir,\nI've just registered for the hackathon. How soon can we know whether we are selected?"", ""Hi Krish sir, I love the you teach. i got an intern but i need your help sir, i request you to make a one video same as this one please sir. i need your explanation please sir. i'm a big fan of yours sir!\n  https://youtu.be/ZxR38An5TQE"", 'Sir  I am akanksha  my education  qualification  is  bachlore  of education  from  biology  I want  to become  data  analyst  . Is it possible  to  become  data  analyst  or  I should  not  try  for  it. Please  suggest  me  . Company  will  hire  me  for  job  or not .plzz  suggest  me  sir', ""U have aspirations but u don't have structure and defined curriculum"", ""Sir make this hackathon online , we can't come to Banglore  , and don't want to miss this kind of opportunity"", 'Sir Is this online or offline?', 'Hii,can you show the deployment part of  imdb 5000 movie score prediction(movie_metabace dataset)', 'Sir how can i connect with u?']"
bHcBzEkTZ1s,"['How to choose between short term course n PHD ?', 'Anna this Ravindra Naik How can I become data scientist with best package anna', 'I have a question on prediction with time series. If we train a dataset say stock predictions we take a series for x and fill in x(n) as y . How can we predict the value y if we want to predict the stock price 1 week later? Always we need to give a series of data for x how do we arrive at this x', ""Hello,\nI want to know if I get the job letter and probation period of 6 month with 2 year bond and bond breaching penalty is 1 lakh than can I resigned after 5 month in company? Without paying bond penalty as I'm still in probation period."", 'in python playlist 14 th tutorial missing , pls add it .', 'Plz start Computer Vision live sessions', 'can you do a video about feature engineering with Binning Technique', 'Is there a statistical way to select only best features for machine learning algorithm?', ""Hello sir I have taken B.E in computer science and engineering (data science) and i am in first year \nI don't know which laptop to take could u help me with this whether to buy a laptop with graphics or not.... My budget is around 60k...."", 'Sir can u please teach us ai....\nA seven day live course .....\nU will be very helpful']"
2_FqpMbKxf8,"['Thanks', '@krish : Will it not lead to constructor or method overloading if we use multiple constructors..?', 'For learning machine and AI,  python and its libraries like sckit,tensorflow,pandas.. etc is enough or math is compulsory \nPlease tell us...', 'wow!!', 'this was quite helpful ! Thank you', 'I guessed it correctly about the concept about of override and happy about that i understand the concept very well. Thank you Krish sir. and Sudanshu Sir.', 'Kya data analytics work ke liye i3 processor, 8gb ram, 256 ssd laptop hang krega?', 'Sir please continue the NLP communiy session on youtube', '👍', 'Please explain and implement with some example about multi threading and multi processing on ml project']"
4-QDspUXS9A,"[""I'm a student and I have the one neurone subscription. And it was said that the live courses and the new courses will be added and we can ask for new course which will be prepared also. But now it seems the new courses which are getting introduced are need to purchase again. @krish sir need your help. Got trapped with your marketing strategy."", 'Sir is this available in one neuron platform?', 'Hi sir, iam assistant professor in computer science , can i get into IT industry, if yes please provide me some suggestions in how can i get into it.', 'Is it available on one neuron..?', 'Is Jigsawacedmy’s data science & ML post graduate program good?…..', 'sir why not also intriduce devops full stack with job gurenteed', 'Bhaiya .. Univ. Ai k upr bhi 1 video bna do.. Plzzz 🙏. Kya vo fraud to nhi h? .. Kya usme enroll kr skte h?', 'hello sir please improve assignments evaluation in tech neuron sir very very very very very slowwwwwwwwwwwwwwwwwwwww', ""Hi krish sir, right now I'm subscribing a 3 months XY institute data science course and I'm not an IT background student, I'm a fresher. I'm parallelly covering your playlists also, can you plz guide me what are the things I focussed on during course completion and after the course , plzzz guide me, bcz of non IT background I'm not having that much confidence where other IT background people have"", 'Any idea about devops job guarantee program..']"
WfmFoTKBw90,"['Congratulations Krish on hitting this milestone 👍', 'Congratulations🎉🎉🥳👏 krish Sir', 'your explanation of concepts and pace of teaching is awesome sir. thats why you are reaching at high peeks in your career.i become a geat fan of you and thank you very much for your classes and keep going and keep rocking sir......', 'Bhaiya  Univ. Ai k upr 1 video bna do plz', 'Congratulations Krish sir 🥳🥳🥳', 'Congratulations Sir.. you deserve only the best. I have been going through all your vedios and  I’m a experienced data scientist but I always learn from your vedios  and I get soo much more clarity and cracked an interview in top retail chain for a 120% hike  just weeks ago. You are my angel.. ! Thankyou for all the good work you do 😊😊😊', 'This is really encouraging Krish Naik. You deserve the best. I just love your humble and gracious nature. Always giving others priority and the best. Ineuron is an amazing team.', 'God father of Data Science = Krish Naik', 'CONGRADULATIONS KRISH from US! I am you 837th subscriber  of your channel 3 years ago and I am glad to be part of  this! Come on guys make it 1million by the end of this year. Cheers!', 'Congratulations Krish!!..I also take this opportunity to thankyou as I am successful to get a job as a Data Analyst being from a non-technical background..its all support and motivation from you, Sudhanshu and the ineuron team..Thankyou once again!!']"
DIvvHPO1Tyo,"['Job Guaranteed Big Data Bootcamp Course Link: https://bit.ly/3I6LzoC\nUse Krish10 coupon code for additional 10% discount', 'i want to join this program but i am not able to connect with your team, i called so many times but nobody pick  the phone, agar course lene se pehle ye haal hai phir to course complete karne ke baad ye to kisi ki sunege bhi nahi .', 'Sir I want join this program, but I have a doubt, I am a 29 year old and I have completed my BE in 2020 am i eligible to do this course inturn will I get the job in IT field please suggest me thank you in advance Sir..', 'Hey Krish,will you be providing internship service letter for this program.', 'Krish i have some questions can you answer,i think I will go through the comments section and find some common questions\n\n\n1)Can we complete early so we get jobs in 4 to 5 months\n\n2) Is it mandatory to do internship\n\n3)What is the minimum CTC for freshers and I have experienced 2.5 yrs in data analyst so what will be the range of CTC\n\n4)is Internship mandatory to complete this course.\n\n5)can we get a stipend in an internship\n\n6)If we do not want to do an internship and want a direct job.\n\n7) Videos are available after live ,means recorded session?\n\nOnce all doubts clear i am ready to enroll. Thanks for this course but please clear this doubts', 'what is the minimum package criteria?', '@Krish: What is the course duration', 'When Devops job guarantee program will start date please???', 'Could you please plan with azure as well please', 'Can freshers enroll in this course?']"
FWQ2SvE-nbM,"['Amazing session', 'what are the true/target values that are used in calculating the loss function', ""So, it's not necessary to use Word2Vec or Glove for embedding, right?"", 'nice explaination', 'I am eagerly waiting for transformers and and BERT', 'Thanks so much sir', 'You are a 💎', 'Its been almost 2 weeks yet no new content. You told this will go on for a month.', 'sir waiting for next session eagerly.', 'Hello Krish naik sir, can you please re-start the NLP live sessions']"
