video_id,comments
jfpdr9j94_k,"['Check https://codebasics.io/ for my Python and other affordable video courses.', 'Very informative video.', 'Is high CGPA important for this kind of company interview??', 'Can you please suggest dsa course', 'Ab toh MAANG hogaya na?😂😂😂', 'Hi Sir,  Thanks for your video, it is very helpful for beginners as well as experienced people. As you mentioned choosing Python for the interview rounds,  what If I am applying for a role that needs some other programming language such as Java, or Javascript and not Python in that case also would you recommend the same?', 'Thank you sir', 'Sir i have been following your 3 months data analyst course since past 6 months .. Due to procrastination i have completed half only till now ...and I am not good at coding as well..... Now i am confused should I continue this data analyst path or switch to devops ???? Please answer sir your long time subscriber', ""I am 35yrs old, Am I too old to join a FAANG company? I have a master's and also over 4yrs+ experience in tech!"", 'Before learning DSA, I need to get my hands on Recusrive programming. Could you please suggest me some good source by which I am able to study and implement recursion ?']"
vUPAOU2NPls,"[""Thank you for the playlist Sir. I hope you would be able to launch a course in Computer Vision soon. I'm so thrilled that you will be launching courses about DS, ML and NLP. Here to support. Best regards. 🍀"", 'Hello sir...can i make a career transition into data analyst after working in 13 years in operations and m only b.com graduate and m 34 years old...is it still possible?', 'Great content sir. Each topic seems easy when taught by you. Love your modules. But I request you to do videos on Forecasting as soon as possible. I am also waiting for  powerful content like Statistical techniques like ANOVA, CHI SQUARE , etc.. using python.', 'I m btech in civil (2015 passout) having 4 years of experience as a site engineer (2015-19) thn i left the job and starting preparing for civil services but after 3 years of hand work in could not get through. Now I want to switch my career into private sector. Pls suggest me which SKILL COURSE should I learn which would be beneficial for me. Actually I m in confusing between DATA ANALYST, DATA SCIENCE & FULL STACK DEVELOPMENT.  Pls suggest me which would be beneficial for me to get a good job.', 'I am a big fan of your work! Thanks much! All your playlist is very useful and easy to learn.', 'Great content! \n\nYour videos always help me revise what I had previously learned and implement on the projects I work on.👌', 'How to apply ml on text classification where target column is bigram word...?', 'Hello sir, \nAppreciate for your efforts and the teaching methods, really learning NLP from your playlist,\nWant to request you for the end to end project in nlp which almost covers all the topics in it....\nThank you in advance', '❤Only for fans over 18 year⤵️ Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine empr.ONLINE Brünette und eine andere Blondine. Es wäre unfair, wennc ich 4 wählen würde', 'Great work']"
6jfARpCukyo,"['Do you want to learn technology from me?Do you want to learn technology from me? Check https://codebasics.io/?utm_source=pin-comment&utm_medium=yt&utm_campaign=pin-comment&utm_id=youtube for my affordable video courses.', 'Sir i want to learn data analyst basic skills ?????', ""Sir I'm btech in civil engineering 2015 passout and having working experience of 4 years (2015-19) thn i left the job and starting preparing for government service but after 3 years of preparation I couldn't get through....now i m 29 years old and I want to switch my career in private sector ....pls sir suggest me ki mai DATA ANALYST ke sath jau ya KISSE aur skill ko seekh lu jisse muje achi job mil jaye...pls reply..i really need ur advice"", 'Pleased make videos in codebasic hindi as well.', 'Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine verwohn.online Brünette und eine andered Blondine. Es wäre unfair, wenn ich 4 wählen würde', 'Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine verwohn.online Brünette und eine anderel Blondine. Es wäre unfair, wenn ich 4 wählen würde', 'Thank you for your leadership on this initiative', 'Lots of good advice. A huge one is the string vs categorical difference. Strings are super wasteful in pandas and a very typical default behavior.', 'Thanks for the video. i always do ""del df"" after obtaining the required data', ""Thanks for the video, I also use inplace=True where I can to save the memory. It won't create another copy of data frame each time I perform an operation.""]"
xAVbBgDrwLo,"['Thanks', 'Thank you for your leadership on this initiative', '*Mrs Charlotte is legit and her method works like magic I keep on earning every single week with her new strategies *', 'I have done a similar project on Google datastudio but I have used both the map as well as the horizontal bar graph and it looks pretty cool.']"
Yt1Sw6yWjlw,"['Do you want to learn technology from me? Check https://codebasics.io/?utm_source=pin-comment&utm_medium=yt&utm_campaign=pin-comment&utm_id=youtube for my affordable video courses.', ""Solution of bug : AttributeError: 'CountVectorizer' object has no attribute 'get_feature_names_out' \nuse get_feature_names() instead of get_feature_names_out its a version issue .\nsample code :  v.get_feature_names()[790:800]"", ""Hello Sir, Thank You for being such a wonderful teacher!!! \nJust had a doubt in the Naive Bayes model that is built in this video... where have we used stemming, lematization ?? which would make it an NLP problem\nIf we have not used them, then won't it be a simple Naive Nayes Machine Learning Problem"", 'Hi Dhaval sir, I want to learn technology for data science by you and mentored too, Could you please provide guidance for an experienced 8 year IT professional who wants to transition to Data Science as Iam not able to figure out which institute to select.', 'Hai Sir AMD vs Intel which processor is best for programming.... please reply...sir', 'Sir full stack developer course create please one videos and create playlists ...', 'Please provide the spam.csv file....', 'Sir please provide us big data engineer and  data science course']"
Mz-0ofqx5M8,"['Sir sql la course kab aarha he', 'Hi. I have a total of 7.5 years work experience having 9 LPA. But I am a fresher to Data analytics. What range of salary can I expect?', 'Sir to use csv file in Jupyter notebook do we need to upload it before in jupyter notebook.', 'I not able make my GitHub portfolio. Is it that hard', ""hi sir..i'm bsc stats Student present i'm studying final year..after completion of my study it it good to choose data analyst??...or else any other job/course?"", 'Hlo \nI have just completed my school this year and I want to become an data scientist .\nWhat path should I follow ?? How can I learn .\nIs college necessary ?', ""Sir plz make vedio on how to use 'discord '\nHave joint once but didn't understand how it's works 🤔.\n\nThank you\nTanjila."", 'Hello sir I am graduation appeared and now not able to complete due to some family issues but I wanna be data analyst I have gathered a good knowledge of excel and programming, power bi, visual studio n all \n\nWhat should I do for the next to get into it more professionally..... please help me 🙏', 'Hello sir I am commrece student but i want to switch to data analysis plz sir give me any suggestions', 'Hii..I want to switch from acedemics to industry in machine learning area or data science area, how to get good opportunities becoz m not getting that much call from the company because I have done PhD not have any experience in industry.']"
WROHCDfiBp0,"['Do you want to learn technology from me? Check https://codebasics.io/?utm_source=pin-comment&utm_medium=yt&utm_campaign=pin-comment&utm_id=youtube for my affordable video courses.', ""Hi Sir,\r\nLove your content as always...great video..\r\nI have few questions regarding the example you have taken in this video (link is given below)\nhttps://www.youtube.com/watch?v=YgI94IRXySk&list=PLrkLKBQvqMNiSTvi8SpDJzAT6-oAhMOxI&index=2\n\r\n  If expand the conversation in the example taken,\r\n      Using text file handling and string manipulation in python:\r\n1) How can I find the number of unique speaker and list of all speaker present in file and also want separate file for each speaker.\r\n2) I want to find the list of all unique words spoken by each unique speaker in new line and want to save these words in respective speaker's file .\r\n3) how to remove all punctuations.\r\n      \r\n    If I will get the answer it will be great help.\r\n   Thanks in advance...."", 'Hello Codebasics your youtube channel is very nice to watch, knowledgeable.', 'But your DSA is incomplete, please complete it first. DP etc', ""Hello, Did you teach data analysis using Jupyter Notebook in your paid Data Analysis Course? I think it's missing there"", ""I love love your tutorials! Where's the merch? Coz am a fan! need me codebasics t-shirt!"", 'How to do project pls help', 'Please come up with SQL course please?\nEagerly waiting #codebasics', 'Hi, Mr Patel \nCan i ask you to treat about growth hacking skills?? \ni want to learn about that but i find it hart to find a information.', 'Hi Mr.Patel, I am thinking about doing a masters in data analytics however I am not that firm in my decision. I currently am a senior going for bachelors in cyber. What are some tips?']"
hzzvCrg4nr0,"['Some videos in the course are free to watch: https://codebasics.io/courses/power-bi-data-analysis-with-end-to-end-project/?utm_source=pin-comment&utm_medium=yt&utm_campaign=pin-comment&utm_id=youtube', 'Whether data science and data analyst  both are same', 'Sir, I have been watching you since 2020. You inspire me a lot. Can you please guide me from where I have to start learning to become data analyst or MI?', 'Hello sir can you please tell which job profile I can target by doing this course????', ""I'm chartered accountant DROPOUT, can this course help me to build my career?"", 'It Includes Excel , Sql?', 'Sir, I am from Bangladesh. So i want to know  payment system is eligible  Bangladeshi BKash or Nagod.', 'Hello sir\nThis is Sumanth from Hyderabad, pursuing a bachelors in business administration. I want to do MS in Data Science from USA. Can you please guide me in this?', 'I am currently doing the course now it.is amazing .', 'Can you provide placement assistance sir']"
2d8iP2_cS-U,"['Do you want to learn technology from me? Check https://codebasics.io/?utm_source=pin-comment&utm_medium=yt&utm_campaign=pin-comment&utm_id=youtube for my affordable video courses.', 'Your tutorials are a blessing man!!! Thank you very much for making them. Hope you have an amazing week!', ""Hi,I have one question on your  potato's prediction project : all your potato's leaf dataset images have the same size and similar background ,how do this?"", 'Sir, can you please make a Search Engine demo project using  NLP and add it in this series', 'Respected Sir\n\nYour videos are awesome. Kindly Complete the NLP SERIES asap', ""Thank you Sir, I'm a Sri Lankan you may know we cannot select the degree as our own in our Education System so I had to do Computer Science without knowing anything about IT careers. Thanks to You now I can find the path and have clear vision about my future.Thank you Again Sir."", 'Respected sir\nYour  videos are awesome becouze of simplicity ,clarity, exercise, code availability etc. but you are very slow in creating next videos. I have completed all NLP videos but I halted becouse further videos are unavailable.\nPlease try to create  atleast one video in 2 days. so I can complete NLP before my placement drive.', 'Dhavan sir, your videos are fabulous I really enjoy and lot more all playlist which helps clear idea in data science field.', 'Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine warmthh.Online Brünette und eine anderei Blondine. Es wäre unfair, wenn ich 4 wählen würde', 'Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine verwohntt.online Brünette und eine anderem Blondine. Es wäre unfair, wenn ich 4 wählen würde']"
HuZiJ44_71M,"['Do you want to learn technology from me? Check https://codebasics.io/?utm_source=pin-comment&utm_medium=yt&utm_campaign=pin-comment&utm_id=youtube for my affordable video courses.', 'Any one want amzone Or Netflix just in 50rs', ""I m a civil engineer by profession 2015 passout. Working 4 years(2015-19) as a site engineer after I left the job and starting preparing for government services but unfortunately i couldn't get through and having a career of 3 years. Pls suggest me which course is beneficial for me to get job in private sector. Actually I m confusion between DATA ANALYST & BUSINESS ANALYST. Pls suggest ne which course is beneficial for me"", 'Hii Sir!!\n\nI’m doing my Bachelors in Data Science in India, so in what field should I do my MS. If I do MS in DS only then majority of topics I would’ve learnt in my Bachelors. So what should I do. I want to do masters in US to work in US in data science field…', 'Being a UI/UX designer , I find this very informative', ""hi sir, I'm From Bangladesh,  I've completed your python course just now. I'm following your 6 months machine learning goal.\nSir, Can you make an End to End Power Bi project..from data collect to making dashboard with this 15 rules..?"", 'Good morning Codebasics, how to connect emulator to your computer ? I want to build an app this year, tutorial please.', 'Hello.Could you please send me the link where you explain the differences between dashboards and reports?', 'Dear poster, noting your spelling mistake in the thumbnail for your revision. (Should be principles)', 'Hai anna iam Nagendar Anna na age 42 vyz.Monster qualification m.l.t medical lab techniciani ,Srpt lo jobs unte cheppagalaru anna.with govt Jobs']"
