video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
jfpdr9j94_k,codebasics,Study plan to crack FAANG job interviews | FAANG interview preparation guide,"Full study plan along with resources and preparation tips that can help you crack software engineer (SDE) job interviews at FAANG or any other product-based companies. I've interviewed many candidates in two product-based big tech companies NVIDIA and Bloomberg. This interview guide is prepared based on my experience as an interviewer and my recent interactions with folks who managed to get job offers from FAANG companies.

⭐️ Timestamps ⭐️
00:00 Overview of the plan
00:28 Resume prep
03:12 Job application
05:32 Coding interview
12:15 System design interview
13:25 Behavioral interview
15:25 Salary negotiation

FAANG interview stude plan: https://github.com/codebasics/interview-help/blob/main/sde-interview-prep.md


Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'FAAN Interview', 'faang interview preparation', 'faang interviews', 'faang interview prep', 'faang interview process', 'faang interview training', 'faang interview tips', 'facebook faang interview', 'amazon faang interview', 'faang interview questions', 'faang interview', 'amazon faang interview preparation', 'faang companies', 'cracking faang interview', 'faang interview preparation for experienced', 'faang interview questions and answers', 'faang', 'get hired at faang companies']",2022-08-06T15:30:13Z,20363,1014,,53,PT19M30S,hd,false
vUPAOU2NPls,codebasics,Stop Words: NLP Tutorial For Beginners - 16,"Stop words are frequently used words in a language such as ""a"", ""the"", ""so"" etc. (in engllish) that do not add a lot of value to certain NLP tasks. Hence it is better to remove them during pre-processing stage. In this video, we will cover,

⭐️ Timestamps ⭐️
00:00 Theory
05:00 Coding

Code: https://github.com/codebasics/nlp-tutorials/blob/main/10_stop_words/stop_words.ipynb
Exercise: https://github.com/codebasics/nlp-tutorials/blob/main/10_stop_words/stop_words_exercise.ipynb

Complete NLP Playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uuvuAXhYjV2lMEShq2UYSwX


Practical NLP Book In India: https://www.shroffpublishers.com/books/computer-science/artificial-intelligence/natural-language-processing/9789385889189/
Practical NLP Book Link For USA: https://amzn.to/3Aoeocm


Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'natural language processing python', 'natural language processing tutorial', 'natural language processing full course', 'nlp tutorial', 'nlp python', 'spacy tutorial nlp', 'spacy tutorial nlp stop words', 'spacy stop words tutorial', 'nlp spacy stop words tutorial', 'what are stop words in nlp', 'stop words array', 'google stop words list', 'stop words in spacy', 'stop words python', 'spacy stop words tutorial nlp', 'stop words']",2022-08-04T13:30:12Z,1389,60,,13,PT18M43S,hd,false
6jfARpCukyo,codebasics,Pandas Memory Optimization Tips,"While loading big datasets in pandas, we need to be aware of the memory footprint. In this video, I will discuss 4 tips that can help you reduce this footprint.

Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'pandas memory optimization tips', 'pandas memory optimization', 'python pandas memory optimization', 'python memory optimization', 'pandas memory', 'pandas management', 'memory used by pandas', 'loading big datasets in pandas', 'datasets in pandas', 'pandas', 'manage datasets in pandas', 'how to load dataset faster', 'how to handle large datasets', 'how to reduce dataset size in python', 'how to optimise large datasets', 'how to optimise pandas datasets', 'how to handle large datasets in pandas']",2022-08-01T14:30:01Z,3406,190,,12,PT3M55S,hd,false
xAVbBgDrwLo,codebasics,What exactly is insights to space ratio in BI dashboard?,"While building a BI dashboard in power bi or tableau or pretty much any other tool, we need to be mindful about ""insights to space"" ratio. Using a map in a dashboard looks cool but often if you replace that with a bar chart, it gives better insights to space ratio.

Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true",['yt:cc=on'],2022-07-27T13:30:16Z,2467,110,,4,PT58S,hd,false
Yt1Sw6yWjlw,codebasics,Text Representation Using Bag Of Words (BOW): NLP Tutorial For Beginners - 15,"Bag of words (a.k.a. BOW) is a technique used for text representation in natural language processing. In this NLP tutorial, we will go over how a bag of words works and also write some code for email classification that uses a bag of words and the Naive Bayes classifier in machine learning.

Code: https://github.com/codebasics/nlp-tutorials/blob/main/9_bag_of_words/bag_of_words_tutorial.ipynb
Exercise: https://github.com/codebasics/nlp-tutorials/blob/main/9_bag_of_words/bag_of_words_exercise_questions.ipynb

⭐️ Timestamps ⭐️
00:00 Theory
08:00 Coding

Complete NLP Playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uuvuAXhYjV2lMEShq2UYSwX


Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'natural language processing python', 'natural language processing tutorial', 'natural language processing full course', 'nlp tutorial', 'nlp python', 'spacy tutorial nlp', 'nlp bag of words', 'bag of words', 'nlp bag of words example', 'bag of words using nlp', 'bag of words nlp', 'bag of words example', 'natural language processing pipeline', 'bag of words python', 'how to implement bag of words model', 'introduction to nlp bag of words', 'bag of words in nlp', 'bag of words model nlp']",2022-07-25T14:58:16Z,3633,90,,11,PT33M58S,hd,false
Mz-0ofqx5M8,codebasics,Data Analytics Live Q&A - 24th July,"In this live stream, you can ask any questions related to data analytics. Joining with me is my friend Hemanand Vadivel who is a data analyst manager with many years of experience. He is also a Power BI expert. You can ask questions on topics such as,
1) Power BI
2) Data Analyst Career Guidance
3) Interview Tips

Link for our power bi data analytics course for beginners and advanced users: https://codebasics.io/courses/power-bi-data-analysis-with-end-to-end-project

I and Hemanand regularly post useful career tips on our LinkedIn. If you want to learn from us please follow the below LinkedIn profiles,
Hemanand's LinkedIn: https://www.linkedin.com/in/hemvad/
My linkedin: https://www.linkedin.com/in/dhavalsays/



Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true

❗❗ DISCLAIMER: All opinions expressed in this video are of my own and not that of my employers'.","['yt:cc=on', 'data analyst interview questions and answers', 'data analyst roadmap', 'how to become a data analyst', 'data analytics live', 'data analytics', 'data analytics intervier live', 'power bi interview', 'power bi interview live', 'power bi', 'data analytics live session', 'data analyst interview', 'data analyst interview live', 'data analytics interview', 'data analytics interview questions', 'data analytics interview questions answers']",2022-07-24T13:36:42Z,7309,247,,20,PT1H2M51S,hd,false
WROHCDfiBp0,codebasics,The Learning Resource That Helped People Crack Job Interviews at Meta and Walmart,"In this video, I will be discussing a learning resource that helped a few folks crack job interviews in Meta (USA) and Walmart (India).

Linkedin posts:

Jaimin Meta Job Offer:
https://www.linkedin.com/posts/jaimin-brahmbhatt_newjob-meta-metafacebook-activity-6924859552408502272-vn8r?utm_source=linkedin_share&utm_medium=member_desktop_web

Stephanie Su a Meta Internship Offer: 
https://www.linkedin.com/posts/steph-su_how-i-prepared-for-my-meta-technical-interviews-activity-6924119412383916032-YJHZ?utm_source=linkedin_share&utm_medium=member_desktop_web

Smriti Das Walmart Job Offer: 
https://www.linkedin.com/posts/smriti-das24_walmartglobaltech-sde2-activity-6924424042506502144-qIGP?utm_source=linkedin_share&utm_medium=member_desktop_web

Codebasics DSA playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu_n_a__MI_KktGTLYopZ12

Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'crack job interviews at meta and walmart', 'crack job interviews at meta', 'facebook interview', 'facebook interview preparation', ""what's the hiring process at facebook"", 'crack job interviews at facebook', 'crack job interviews at walmart', 'facebook screening interview', 'interview tips', 'walmart', 'meta', 'walmart interview experience', 'walmart interview 2022', 'walmart interview']",2022-07-21T13:30:06Z,7460,201,,16,PT5M3S,hd,false
hzzvCrg4nr0,codebasics,What Learners Think About Codebasics Data Analytics Course?,"It is 1.5 months since I launched a data analytics course and we have received an amazing response so far. In this video, I am going to share some experiences by students and hopefully, that helps you if you have an aim of becoming job ready in the field of data analytics.

Here is the course page: https://codebasics.io/courses/power-bi-data-analysis-with-end-to-end-project/

Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'data analytics course', 'data analytics course for beginners', 'data analytics course review', 'data analytics course feedback', 'best data analytics course', 'data analytics', 'data analyst', 'best power bi course', 'power bi tutorial', 'power bi', 'power bi tutorial for beginners', 'power bi dashboard', 'codebasics power bi tutorial', 'codebasics power bi']",2022-07-15T14:30:11Z,7086,186,,67,PT4M10S,hd,false
2d8iP2_cS-U,codebasics,Text Representation: Label & One Hot Encoding: NLP Tutorial For Beginners - 14,"Label encoding and one hot encoding are primitive ways of representing text as numbers. These methods are not popular in NLP but it is important that we understand these techniques along with their shortcomings. In this video, we will cover how both of these methods work.

Complete NLP Playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uuvuAXhYjV2lMEShq2UYSwX

Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'natural language processing python', 'natural language processing tutorial', 'nlp tutorial', 'spacy tutorial nlp', 'one hot encoding nlp', 'one hot encoding', 'one hot encoding python', 'text representation nlp', 'nlp text representation', 'text representation with ohe', 'one hot encoding text representation', 'text representation nlp tutorial', 'one hot encoding nlp tutorial', 'one hot encoding tutorial', 'text representation tutorial', 'one hot encoding spacy tutorial', 'one hot encoding spacy']",2022-07-14T13:21:45Z,2403,97,,15,PT14M56S,hd,false
HuZiJ44_71M,codebasics,How to Design an Effective Data Visualization Dashboard?,"15 design principles of building an effective business intelligence or data visualization dashboard in Power BI, Tableau, or any other BI tool. 
This video is from my data analytics (power bi) course: https://codebasics.io/courses/power-bi-data-analysis-with-end-to-end-project

PDF file for design rules: https://www.sqlbi.com/wp-content/uploads/videotrainings/dashboarddesign/rules-A3.pdf


Do you want to learn technology from me? Check https://codebasics.io/ for my affordable video courses.

Need help building software or data analytics/AI solutions? My company https://www.atliq.com/ can help. Click on the Contact button on that website.

🎥 Codebasics Hindi channel: https://www.youtube.com/channel/UCTmFBhuhMibVoSfYom1uXEg

#️⃣ Social Media #️⃣
🔗 Discord:  https://discord.gg/r42Kbuk
📸 Instagram: https://www.instagram.com/codebasicshub/
🔊 Facebook: https://www.facebook.com/codebasicshub
📱 Twitter: https://twitter.com/codebasicshub
📝 Linkedin (Personal): https://www.linkedin.com/in/dhavalsays/
📝 Linkedin (Codebasics):  https://www.linkedin.com/company/codebasics/
🔗 Patreon: https://www.patreon.com/codebasics?fan_landing=true","['yt:cc=on', 'dashboard design data visualization', 'data visualization', 'dashboard design', 'how to create a basic dashboards', 'power bi dashboard', 'dashboard design principles', 'dashboard design concepts', 'how to improve your dashboard', 'dashboard best practices', 'improve dashboard', 'dashboard design best practices', 'analytics dashboard', 'data visualization rules', 'data visualization standard', 'data visualization power bi dashboard', 'powerbi dashboard design', 'how to create project dashboards']",2022-07-09T15:00:11Z,7049,307,,17,PT10M7S,hd,true
